round,val_acc,val_loss,comm_cost_mb,mia_probe_score
1,9.24,4.256,179.64,0.5
2,19.25,3.4445,359.29,0.5
3,26.43,3.123,538.93,0.5
4,30.06,2.9253,718.58,0.5
5,31.62,2.885,898.22,0.5
